Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average
Dirtside II,1993,2,4,120,12,146,7
Valda,2019,2,5,150,12,142,7
Somme 1918: Bloody Spring,2012,2,2,240,14,92,8
Spies & Lies: A Stratego Story,2019,2,2,30,12,138,7
Vintage,2011,2,4,120,10,236,6
Bitter End: Attack to Budapest,,,,,,,
Jolly Roger: The Game of Piracy & Mutiny,2015,4,10,30,12,339,6
Classic Warlord,2012,2,7,360,12,165,7
Architectura,2018,2,4,45,8,471,6
Field Command,1991,2,2,180,10,159,7
Naval Battles,2004,2,6,30,10,732,5
Catalyst,2018,2,4,40,10,209,6
Dragon Valley,2012,2,4,120,12,218,6
Yamslam,2008,2,4,15,8,387,6
Pecunia non olet: Geld stinkt nicht,2005,2,4,40,8,395,6
Wool Rules,2007,2,6,30,10,596,6
Deckscape: Escape from Alcatraz,2020,1,6,60,12,144,7
Corsairs,2000,2,4,60,10,513,6
Master Word,2020,3,6,15,12,144,7
Epaminondas,1975,2,2,60,10,136,7
Recicle: Tempos de Crise,2010,2,4,120,14,126,7
Robin Wood,2018,2,4,25,10,165,6
Master Fox,2015,2,4,20,7,336,6
Cauldron,2015,2,5,90,11,221,6
War of the Buttons,2018,2,4,70,10,220,6
Spexxx,2013,2,4,60,8,357,6
Alexander the Great,2005,2,5,75,10,528,6
Drakon (Second Edition),2002,2,6,40,10,390,6
Hidden Games Tatort: Der Fall Klein-Borstelheim,2019,1,6,180,14,78,8
Arena Maximus,2003,2,5,60,10,977,5
DANY,2019,3,8,30,16,190,6
Dragon Keepers,2019,1,6,40,6,203,6
Panzer Battles: 11th Panzer on the Chir River,2016,2,4,600,12,128,7
Tweeeet,2012,2,6,30,7,331,6
Big Kini,2005,2,4,60,10,292,6
Worm Up!,1994,3,5,20,7,939,5
The Table Is Lava,2018,2,4,20,10,326,6
Napoleon 1807,2020,2,2,120,10,100,8
SiXeS,2016,3,8,45,12,153,7
Austerity,2015,1,1,20,8,179,6
Tofu Kingdom,2015,3,8,30,10,353,6
They Come Unseen,2015,2,5,180,0,205,6
Swinging Jivecat Voodoo Lounge,2016,2,5,60,21,215,6
Spires,2017,1,4,30,10,173,6
Naruto Shippuden Deck-Building Game,2014,2,5,90,15,197,6
Nut Job,2015,2,4,15,5,188,6
Hube's Pocket,1995,2,2,360,12,134,7
La Bataille d'Orthez,2000,1,2,180,12,110,7
Romans Go Home!,2013,1,4,15,13,568,6
Munchkin The Nightmare Before Christmas,2015,3,6,120,10,321,6
Iron Tide: Panzers in the Ardennes,2003,2,4,360,12,108,7
Kremlin (Third Edition),2014,2,6,90,12,153,6
April's Harvest: The Battle of Shiloh,,,,,,,
Cannes: Stars,,,,,,,
Career Poker,1988,4,8,60,10,235,6
Kasserine: Rommel's Battle for Tunisia,,,,,,,
Sator Arepo Tenet Opera Rotas: Malleus Maleficarum,2015,2,4,90,14,136,7
Deutschland: Finden Sie Minden,2007,2,5,45,6,257,6
Scout!,2019,3,5,15,9,127,7
Off the Rails,2018,1,4,60,12,291,6
Fiji,2006,2,5,30,10,908,5
Trainmaker,2012,1,6,15,8,315,6
Birds of Prey: Air Combat in the Jet Age,2008,2,8,480,14,128,7
Rune,2019,2,2,15,7,225,7
Stratego: Lord of the Rings Trilogy Edition,2004,2,2,45,8,411,6
MERCS: Recon - Counter Threat,2015,1,5,90,12,231,6
Battle Beyond Space,2012,3,4,60,13,302,6
Gold am Orinoko,2013,2,4,20,7,219,6
The Last Success: Quadrigame of the War Against Austria,,,,,,,
Why Did the Chicken...?,2004,4,8,60,12,396,6
Chez Goth,2004,2,5,60,14,680,5
Shy Monsters,2019,2,2,15,10,163,6
Choose Your Own Adventure: War with the Evil Power Master,2019,1,99,60,10,418,6
Small Samurai Empires,2020,2,4,90,13,109,8
Wisdom of Solomon,2018,1,5,75,14,111,7
Uruk II: Die Entwicklung geht weiter,2014,2,5,30,12,201,6
Equinox,2012,2,2,25,13,226,6
Sultans of Karaya,2011,5,15,60,12,321,6
White Death: Velikiye Luki,,,,,,,
Grifters: Nexus,2018,2,4,30,14,154,6
The Sheep Race,2013,2,6,45,10,237,6
Smolensk: Barbarossa Derailed,2018,1,2,4560,16,101,8
Oshi,2006,2,2,20,8,473,6
Mesozooic,2018,2,6,20,8,290,6
WestFront: The War in Europe,,,,,,,
AttrAction,2012,2,5,10,14,294,6
Pocket Invaders,2016,2,4,20,8,224,6
Drive on Paris,2000,2,2,300,12,164,6
Poule Poule,2019,2,8,20,8,185,6
The Convicted,2014,1,4,900,12,157,7
Field of Glory: Ancient and Medieval Wargaming Rules,2008,2,4,180,12,189,6
18NY,2011,2,6,300,12,92,7
Poetry for Neanderthals,2020,2,12,15,7,156,7
Flash Duel: Revised Second Edition,2015,1,5,5,0,142,7
Foodfighters,2015,2,2,30,8,225,6
Four Tribes,2013,2,2,30,8,139,7
Phantom Fury,2011,1,1,240,12,114,7
GOITA,1860,3,4,30,0,158,6
Tarantel Tango,2009,2,5,20,7,551,6
Kardinal & König: Das Kartenspiel,2001,3,5,45,11,179,6
Minotaur Lords,2004,2,2,30,12,599,5
Justice League: Hero Dice - Superman,2015,1,1,25,10,261,6
Landships! Tactical Weapons Innovations 1914-1918,1992,2,2,120,12,199,6
Gumshoe,1985,1,6,120,12,132,7
Konja,2017,2,2,60,9,229,6
Magnum Opus,2014,2,4,60,12,156,6
Funkoverse Strategy Game: Rick & Morty 100,2019,2,2,60,13,160,7
No Retreat!: Polish & French Fronts,2018,0,2,180,14,110,7
Star Cartel,2017,3,6,60,10,235,6
Gentlemen Thieves,2012,2,5,45,10,353,6
Justice League: Hero Dice - Batman,2015,1,4,15,10,303,6
Deckscape: The Curse of the Sphinx,2019,1,6,90,12,364,6
Pala,2012,3,5,30,11,175,6
We Didn't Playtest This Either,2009,2,10,10,12,783,5
The Emperor Returns,1986,1,3,240,12,153,7
Zombies!!!,2001,2,6,90,15,14440,5
The Eye of Judgment,2007,1,2,30,12,189,6
1822CA,2018,3,7,540,12,78,8
Kharkov: The Soviet Spring Offensive,1978,2,2,240,12,222,6
DruidenWalzer,1999,2,2,45,12,763,5
Mountaineers,2019,1,6,180,13,180,6
Z War One: Damnation,2016,1,5,120,15,122,8
Cypher,2014,2,4,25,14,652,5
Cat Box,2015,2,5,30,6,386,6
Dadaocheng,2015,1,4,45,10,192,6
Berserk: War of the Realms,2013,2,4,60,13,330,6
Sheepshead,1830,3,7,30,12,76,8
Blitz Bowl: Season 2,2020,2,2,60,8,72,8
Age of Dirt: A Game of Uncivilization,2019,2,5,45,14,155,6
Abaddon,2012,2,4,45,14,258,6
Wings of Glory: WW2 Rules and Accessories Pack,2013,2,99,45,8,111,7
TA‐KE,2017,2,2,30,10,182,6
Anachronism,2005,2,4,5,12,655,6
Bandida,2020,1,4,15,6,189,6
City Council,2013,2,5,60,12,431,6
Proteus,2001,2,2,30,8,203,6
Sherlock: Entre tumbas,2019,1,8,60,10,136,7
Golden Horn: Von Venedig nach Konstantinopel,2013,2,4,45,8,264,6
Anima: Beyond Good and Evil,2008,2,4,60,0,414,6
South African Railroads,2011,3,6,40,0,90,7
Beasty Bar 3: Born to Be Wild,2019,2,4,20,8,135,7
Mega Man Pixel Tactics: Proto Man Red,2017,2,2,45,10,128,7
Gekido: Bot Battles,2017,2,4,30,14,279,6
Get Lucky,2014,2,6,20,12,604,6
Save Doctor Lucky,2000,3,7,30,10,1148,5
Dragons,2018,3,6,30,8,254,6
Kitara,2020,2,4,40,10,133,7
Railroad Barons,2010,2,2,45,12,303,6
Unlock!: Escape Adventures - In Pursuit of Cabrakan,2018,1,6,30,10,172,6
Scream Machine,2003,3,6,45,7,528,6
Caçadores da Galáxia,2015,2,4,180,14,122,7
Kauchuk,2019,2,4,40,8,145,7
The Football Game,2017,2,4,90,8,159,7
Scarabeo,1963,2,4,90,8,322,6
Dungeon Heroes,2013,1,2,30,13,313,6
Planet of the Apes,2017,1,4,90,14,151,7
Islands in the Mist,2019,2,4,60,10,154,7
Spinball,2001,2,2,20,0,154,6
Helvetia Cup,2012,2,2,45,10,188,6
The Captain Is Dead: Lockdown,2017,1,7,120,12,166,6
Tales & Games: The Grasshopper & the Ant,2015,2,4,30,8,334,6
Chess 960,1996,2,2,180,10,117,7
Sutter's Mill,2008,2,4,60,10,439,6
No Better Place to Die: The Battle of Murfreesboro,1994,2,2,360,0,130,7
Secret Unknown Stuff: Escape from Dulce,2018,1,5,180,14,113,8
Vanguard of War,2017,1,4,60,13,151,7
Anno Domini 1666,2019,2,2,120,14,122,8
Bangkok Klongs,2010,2,4,60,10,321,6
DC Spyfall,2018,3,8,50,13,202,6
Scoundrel Society,2015,2,5,45,14,229,6
Cranium Scribblish,2009,4,6,20,8,342,6
Fantastic Beasts: Perilous Pursuit,2018,2,4,60,8,254,6
Legends of the Old West,2004,2,8,45,12,129,7
Ramparts,1993,2,4,45,12,327,6
1500 m,2018,3,8,80,12,145,7
Witchcraft,2008,2,2,40,8,258,6
Limits,2001,2,6,45,8,571,5
Jurassic Parts,2020,2,5,45,10,149,7
The Best of Chronology,1997,2,8,30,8,177,6
Microworld,2016,2,2,20,10,250,6
Black Hills,2016,2,4,60,10,207,6
Typhoon!,1995,1,4,360,0,123,7
Blossoms,2018,2,2,20,8,512,6
Bronze,2017,2,4,90,12,178,6
Go-Moku,700,2,2,5,8,595,5
Orléans Stories,2019,2,4,180,12,295,6
The First World War,2004,2,4,90,12,456,6
EXIT: Das Spiel - Adventskalender,2020,1,99,90,10,80,8
Meteor,2014,1,6,15,12,460,6
Singapore,2011,3,4,90,12,386,6
Crown of Roses,2012,2,4,300,0,247,6
Advanced Space Crusade,1990,2,2,45,12,281,6
Morisi,2000,2,4,45,10,237,6
Mighty Empires,1990,2,3,300,14,511,6
Robot Master,2008,1,4,15,8,251,6
Blue Cross,,,,,,,
Martian Chess,1995,2,4,20,8,232,6
Shadows over the Empire,2013,2,4,30,12,568,5
City and Guilds,2004,3,5,90,8,190,6
Race to the Treasure!,2012,1,4,20,5,311,6
Balkan Front,1990,2,3,120,12,162,6
Visionary,1997,4,8,60,8,228,6
By Stealth and Sea,2020,1,3,45,10,84,8
Dilbert: Corporate Shuffle,1997,4,6,15,10,620,5
Totemo,2010,2,4,30,6,177,6
Ilium,2008,2,4,35,8,369,6
DragonFlame,2014,2,5,30,13,233,6
Ausgerechnet Buxtehude,2005,2,6,20,10,238,6
Hoax (Second Edition),2016,3,6,20,14,691,5
Trans Europa & Trans Amerika,2018,2,6,40,8,125,7
Batman: The Animated Series Dice Game,2016,2,4,20,10,254,6
Rack-O,1956,2,4,45,8,2604,5
Middle-Earth Strategy Battle Game: Rules Manual,2018,2,4,120,14,60,8
Alba Longa,2011,2,5,90,12,412,6
Warzone,1996,2,8,180,12,167,6
International Checkers,1600,2,2,40,5,245,6
18GL,2005,2,6,300,14,104,7
Eat Me If You Can!,2012,3,6,10,6,518,6
Battle of the Bards,2019,2,4,60,10,127,7
Cahoots,2018,3,4,40,12,222,6
Snit's Revenge!,1977,2,2,20,8,390,6
The Seven Days of 1809: Napoleon and the Archduke Charles,2004,2,4,480,14,109,7
The Sword and the Flame,1979,2,4,60,12,111,7
Immortals,2017,3,5,150,14,264,6
Alienation,2016,2,4,30,8,182,7
Push a Monster,2015,2,4,15,5,387,6
Entrapment,1999,2,2,30,12,104,7
Cat Blues,1998,2,6,30,10,736,5
Discovery: The Era of Voyage,2015,2,4,45,8,192,6
Diáspora,2019,1,24,600,10,164,6
In Vino Morte,2016,3,9,10,8,163,6
RONE,2016,2,4,45,14,160,7
Scott Pilgrim's Precious Little Card Game,2017,1,4,60,13,389,6
21 Mutinies: Arrr! Edition,2013,3,5,45,10,240,6
Continental Express,2014,2,4,20,8,559,6
Privacy,2004,5,12,45,16,279,6
Wonky,2015,2,99,30,8,263,6
Cape Horn,1999,3,5,45,12,543,6
Epic Dungeoneer: Call of the Lich Lord,2006,2,4,60,12,309,6
Los Mampfos,2006,2,5,20,6,372,6
Rage,1995,2,6,45,12,573,6
Ploy,1970,2,4,60,10,367,6
Grasse,2018,2,4,90,14,95,8
Mare Balticum,2011,3,5,30,6,298,6
Herrlof,2020,2,3,45,10,137,7
Monster Trick,2015,2,5,40,10,222,6
Unstable Unicorns: Chaos,2019,2,8,45,14,158,7
tummple!,0,2,10,20,8,234,6
Simply Cosmic,1995,2,4,45,10,226,6
Anno 1701: Das Kartenspiel,2007,2,2,60,10,270,6
Catan Dice Game,2007,1,4,15,7,5163,5
Snow Time,2018,3,5,40,10,242,6
War Without Mercy,1998,2,6,360,12,149,7
Akaba,2004,2,4,20,5,256,6
Warhammer Ancient Battles,1998,2,4,120,14,211,6
Mondrian: The Dice Game,2016,2,4,30,10,284,6
Dead Man's Hand,2013,2,6,45,11,95,7
Risk: Metal Gear Solid,2011,3,5,120,10,206,7
Treasure Lair,2016,2,4,30,14,185,6
Alexander the Great,1971,2,2,120,12,396,6
Mr Lister's Quiz Shootout,2015,3,8,30,14,256,6
Hold the Line: The American Revolution,2016,1,2,120,10,102,7
Replay Baseball,1973,1,2,30,8,104,7
Arena Rex,2013,2,4,30,12,88,8
Behind the Throne,2016,2,4,30,8,322,6
Upwords,1982,2,4,90,8,2862,5
City Square Off,2011,2,2,15,8,210,6
Slither,2010,2,2,40,10,87,8
Activity,1990,3,16,45,12,946,5
Exit: The Game - The Gate Between Worlds,2020,1,4,120,12,78,8
One Night Ultimate Super Villains,2019,3,10,10,8,162,6
Bloom,2008,2,5,60,8,236,6
Krosmaster: Arena - Duel Pack 1,2013,2,2,10,10,136,7
Rory's Story Cubes: Intergalactic,2014,1,10,20,6,170,6
Beta Colony,2018,2,4,80,14,164,6
Mega Man Pixel Tactics: Bass Orange Edition,2017,2,2,45,10,116,7
Barcelona: The Rose of Fire,2016,2,4,90,10,264,6
Minos,1991,2,4,120,16,284,6
Panzer: A Tactical Game of Armored Combat on the Eastern Front,,,,,,,
Ab in den Pool!,1999,2,6,10,6,253,6
Cardline: Dinosaurs,2014,2,8,15,7,457,6
Prussia's Glory II: Four Battles of the Seven Years War,2005,1,2,90,12,140,7
Funfair,2021,2,4,60,14,85,7
Siesta,1999,2,4,60,8,304,6
The Silver River,2020,1,4,120,14,172,7
We Didn't Playtest This: Legacies,2012,2,15,10,12,427,6
True Colors,1989,3,6,30,18,499,6
Snatch,2001,2,10,45,8,273,6
Ultimate Mastermind,1972,2,2,10,8,660,5
Time Chase,2019,3,6,30,10,212,6
Glory: A Game of Knights,2021,1,4,120,14,96,8
Medieval,2003,3,5,120,12,394,6
PanzerArmee Afrika: Rommel in the Desert,,,,,,,
Truco,0,2,6,15,10,134,7
Hockey Blast Pro Hockey Game,2010,1,2,45,12,86,7
Harry Potter: House Cup Competition,2020,2,4,75,11,173,6
Heroes,2015,2,4,30,12,414,6
Nocturion,2019,2,4,70,14,237,6
Two by Two,2010,2,4,45,8,511,6
Muscat,2001,3,5,45,10,222,6
HEXplore It: The Sands of Shurax,2020,1,6,180,14,89,8
Down in Flames: Locked-On,2018,1,6,30,10,91,7
Karelia '44: The Last Campaign of the Continuation War,2011,1,2,450,0,129,7
Lost Legacy: Hyakunen Senso to Ryu no Miko,2013,2,4,10,10,124,7
Word on the Street Junior,2010,2,8,30,8,161,6
Mafia City,2012,3,5,60,12,177,6
October War: Doctrine and Tactics in the Yom Kippur Conflict,1977,2,2,600,12,169,6
The Lord of the Rings: Combat Hex Tradeable Miniatures Game,2003,2,2,60,13,301,6
John Prados' Third Reich,2001,2,5,360,12,283,6
Merchants & Marauders: Broadsides,2016,2,2,45,14,236,6
Jeju Island,2015,2,4,30,7,226,6
Perfect Alibi,2015,3,5,45,10,233,6
Kalimambo,2011,3,7,30,8,373,6
The Jaws of Victory: Battle of Korsun-Cherkassy Pocket - January/February 1944,2020,2,5,3000,16,71,8
Heroes of the World,2008,2,5,75,10,239,6
Sicily: The Race for Messina,1981,2,2,1200,12,202,6
Le Passe-Trappe Grande,2008,2,2,5,10,135,6
La Grande Guerre 14-18,1999,2,6,3600,14,103,7
Ancient Battles Deluxe: From Guts to Gunpowder,2008,2,2,60,0,132,7
Fiasco,2003,2,6,15,12,147,7
Columba,2012,2,4,30,8,145,6
Guess Club,2017,2,8,30,10,144,7
Strada Romana,2009,2,5,45,8,365,6
Zauberschwert & Drachenei,2003,2,4,45,12,413,6
Cityscape,2002,2,4,10,8,308,6
After The Empire,2021,2,4,120,13,112,8
Battlecars,1983,2,4,90,12,405,6
Cranium Whoonu,2005,3,6,30,8,525,6
Monster Match,2018,2,6,10,6,201,6
Pillars of Eternity: Lords of the Eastern Reach,2016,1,4,120,13,284,6
IUNU,2013,2,4,30,10,176,6
Porto Carthago,2010,3,5,90,12,243,6
Shadow Throne,2014,3,5,30,14,224,6
Tales of Evil,2020,1,6,60,13,178,7
Jarnac,1977,2,2,40,7,180,6
Holdfast: EastFront 1941-45,2017,1,2,300,10,90,7
Imaginarium,2011,4,7,30,16,325,6
Casino,1800,2,4,30,10,281,6
Tavern Masters,2017,1,6,30,13,209,6
Spectral Rails,2011,3,4,60,12,254,6
Capital Lux 2: Generations,2020,1,4,40,10,89,7
West of Africa,2016,2,5,90,10,293,6
KINMO,2015,2,10,25,10,111,7
Jungle Speed Safari,2013,2,6,15,5,343,6
Mage Tower: A Tower Defense Card Game,2013,1,4,30,13,183,6
Hold the Line:  Frederick's War,2013,1,2,60,10,98,7
Hunting Party,2005,2,5,90,13,352,6
Armorica,2010,2,4,30,12,217,6
Starbase Jeff,1998,2,4,60,10,390,6
The World Cup Card Game 2010,2010,2,8,75,10,258,6
Campanile,1996,2,5,30,10,351,6
Par Odin,2018,1,1,30,8,138,6
Lion of Ethiopia,1990,2,2,120,12,125,7
Exceed: Street Fighter - M. Bison Box,2019,2,2,25,10,65,8
Warhammer 40,,,,,,,
Heroes Welcome,2019,2,5,90,10,148,7
Gunrunners,2013,2,4,30,10,243,6
Stuffed,2018,2,4,30,10,171,6
Strat-O-Matic Pro Basketball,1973,2,2,90,11,169,7
Shadowrun: The Trading Card Game,1997,2,8,60,12,282,6
Islas Canarias,2009,2,5,45,0,256,6
Cartagena: Die Meuterei,2009,2,4,45,10,224,6
Horizon Zero Dawn: The Board Game,2020,1,4,90,12,209,7
Manitou,1997,2,4,45,12,368,6
Flesh and Blood,2019,2,2,0,0,79,8
Isis & Osiris,2001,2,4,20,7,949,5
Constellations,2017,2,4,60,8,159,6
Heropath: Dragon Roar,2018,1,4,120,12,124,8
Last Battle: Ie Shima,,,,,,,
Ogre Miniatures,1992,2,8,120,10,134,7
The Foreign King,2015,2,4,60,12,224,6
Rick and Morty: The Pickle Rick Game,2018,1,2,45,13,168,6
Aladdin's Dragons,2009,2,5,30,10,223,6
Narvik: The Campaign in Norway,,,,,,,
Musketeers,1991,2,4,40,8,411,6
Ancients,1986,2,2,60,12,170,6
Saga,2004,2,4,30,12,1220,5
FlickFleet,2018,2,2,30,10,100,8
King's Pouch,2014,2,4,60,10,189,6
Force on Force: Modern Wargaming Rules,2009,2,2,60,14,121,7
Trial of the Temples,2019,2,4,60,14,163,7
Goryo,2019,2,2,30,10,135,7
Mixtour,2011,2,2,45,8,104,7
Chickapig,2016,2,4,60,7,304,6
Crazy Race,2017,2,5,60,8,155,6
Hearts of AttrAction,2014,2,5,10,14,245,6
Whoosh: Bounty Hunters,2017,2,8,10,8,321,6
The Halls of Montezuma,2009,2,2,240,11,220,6
Roll & Raid,2020,1,6,60,8,109,7
Dino Dude Ranch,2016,2,5,40,8,145,7
Empire of the Rising Sun,1995,2,6,1200,18,211,6
Wacht Am Rhein,2005,1,4,240,12,127,7
Kilt Castle,2016,2,4,45,10,186,6
Black Stories Funny Death Edition,2011,2,15,20,12,381,6
Legions of Darkness,2011,1,1,30,10,163,6
Blight Chronicles: Agent Decker,2019,1,1,180,14,169,6
Blood Bowl,1986,2,2,120,12,612,5
Canalis,2013,2,4,45,12,258,6
Risk: Édition Napoléon,1999,2,5,120,10,267,6
War of Honor,2011,2,4,60,12,191,6
New Rules for Classic Games,1992,0,0,300,10,94,7
Heroes of Stalingrad,2019,2,2,120,14,113,8
Raiatea,2018,3,5,120,12,237,6
Null & Nichtig,2006,3,5,30,8,447,6
Mars Attacks: The Dice Game,2014,3,6,20,10,709,5
High Noon Saloon,2011,2,6,45,10,332,6
The North,2019,1,2,30,0,124,7
'Wacht am Rhein': The Battle of the Bulge,,,,,,,
Autumn For Barbarossa,2017,2,2,360,0,109,7
Iron and Oak,2013,2,0,90,12,168,6
Shake Up,2019,1,2,25,10,133,7
Let Them Eat Shrimp!,2014,2,5,20,8,198,6
On the Edge,1994,2,5,45,12,326,6
Katarenga,2017,2,2,20,8,115,7
Nova Aetas,2016,1,4,45,12,141,7
Super Big Boggle,2012,1,20,60,8,133,7
1985: Under an Iron Sky,2018,2,6,8640,16,90,9
Monopoly Gamer: Mario Kart,2018,2,4,60,8,431,6
The New Dungeon!,1989,1,6,45,8,465,6
Wodny szlak,2019,1,4,20,8,183,6
Silver Coin,2020,2,4,60,8,87,7
Snail Sprint!,2018,2,4,15,5,127,7
The X-Files,2015,2,5,90,13,290,6
Cannon,2003,2,2,20,12,144,6
Citadel of Blood,1980,1,6,120,10,240,6
The Valley of Alchemists,2019,2,4,75,10,174,7
Operation Battleaxe:  Wavell vs. Rommel,,,,,,,
Rival Realms,2018,1,2,30,10,132,7
Fliegen klatschen,2004,2,8,15,6,567,6
Prussia's Glory: The Battles of Frederick the Great,2002,1,2,180,12,169,6
Hey Waiter!,2010,2,4,30,13,293,6
Train Heist,2013,2,4,60,12,224,6
Good Dog,,,,,,,
Aspern-Essling 1809,2009,0,2,240,0,106,7
Rollecate,2019,1,4,15,8,253,6
Chemistry Fluxx,2017,2,6,30,8,302,6
Screaming Eagles in Holland: The 101st Airborne Division's Defense of Hell's Highway,,,,,,,
Red Dragon Rising: The Coming War With China,2008,1,2,180,0,127,7
Mysteries?,2013,3,8,45,10,132,6
Wind River,2008,3,4,60,12,235,6
Exceed: Street Fighter - Chun-Li Box,2019,2,2,25,10,65,8
Voltage,2006,2,2,15,10,359,6
Exit: The Game + Puzzle - The Sacred Temple,2020,1,4,180,10,97,7
Tigers in the Mist: Ardennes Offensive,1999,2,2,300,12,162,6
Blocky Mountains,2014,1,7,30,8,132,7
Panzerkrieg: von Manstein & HeeresGruppe Süd,1978,2,2,240,14,251,6
Far East War 1592,2016,2,4,120,12,130,7
24/7: The Game,2006,2,4,20,8,216,6
World of Tanks: Rush,2013,2,5,30,10,797,5
Master Builder,2008,2,4,60,10,430,6
1940: The Fall of France - A Panzer Grenadier Game,2009,2,2,120,0,84,7
Legendary Creatures,2018,2,4,120,13,163,6
Funkoverse Strategy Game: Jurassic Park 101,2020,2,2,60,10,102,7
Treasure,,,,,,,
Stroop,2017,2,4,15,8,247,6
Cuisine a la Card,2015,2,4,45,13,149,6
Deadwood Studios USA,1999,2,8,60,12,842,5
GYM,2017,2,6,20,10,258,6
San Francisco,2000,3,5,90,12,310,6
My First Bohnanza,2015,3,5,30,4,176,6
Cortex Challenge 2,2017,2,6,15,8,183,6
Lightseekers,2017,2,99,20,8,178,7
Twin Peaks,2014,1,4,780,0,96,7
Pirates on the High Seas,2006,2,2,30,6,156,6
Cranium Pop 5,2006,4,12,45,18,299,6
Battle of Britain,2017,2,4,210,10,150,7
Yomi: Round 2,2014,1,4,20,0,77,7
Cranium Turbo Edition,2004,4,16,60,12,446,6
Heroica: Waldurk,2011,2,3,15,8,497,6
Dark Empire: Revolution,2013,3,5,60,12,188,6
North American Rails,1992,2,6,120,12,170,6
Pompeji,2001,2,4,45,12,314,6
Loaded Questions,1997,3,6,45,13,958,5
Durak,0,2,6,15,0,256,6
A Week In Hell: The Battle of Hue,2010,1,1,240,12,126,7
DrunkQuest,2013,3,6,20,21,363,6
Hacker: Deluxe Edition,2001,2,6,60,10,318,6
Vault of Dragons,2018,2,4,90,14,202,6
Piou Piou,2009,2,5,10,5,232,6
Prussia's Defiant Stand,2007,2,2,180,12,143,6
StarFall,2016,2,4,30,13,284,6
El Paso,2009,2,5,45,10,282,6
Witches of the Revolution,2017,1,4,60,13,224,6
Excalibur,1989,2,6,120,14,307,6
A Touch of Evil: 10 Year Anniversary Edition,2020,1,6,120,12,74,8
BattleTech: Beginner Box,2019,1,2,120,0,93,7
Merchants of Muziris,2017,2,4,30,0,112,7
50 Clues: White Sleep,2019,1,5,90,16,150,6
Activity 2,2002,3,16,60,12,435,6
Tetrarchia,2015,1,4,40,10,101,7
Funkoverse Strategy Game: Jurassic Park 100,2020,2,4,60,10,118,7
Thingamajig,2003,3,8,30,14,219,6
The Stygian Society,2020,1,4,120,14,113,7
Munchkin Shakespeare Deluxe,2017,3,6,120,10,150,7
Zitternix,2000,2,4,10,6,399,6
LIE,2015,2,6,20,12,329,6
Fantahzee: Hordes & Heroes,2016,2,5,40,14,273,6
Adventure Time Card Wars: BMO vs. Lady Rainicorn,2014,2,2,30,10,420,6
Hermetica,2018,2,2,45,10,110,7
Genotype: A Mendelian Genetics Game,2021,1,5,90,14,80,8
Fantasy Pub,2003,2,5,60,12,391,6
Offshore,2019,2,5,60,10,152,6
Festival of a Thousand Cats,2016,3,4,40,7,155,6
Scotland Yard Master,2013,2,6,45,10,228,6
Star Fleet Battle Force,2001,1,6,90,8,223,6
The Primary,2018,1,5,60,14,94,8
Mythe,2012,2,5,20,6,515,5
7 Steps,2014,2,4,30,10,305,6
Master of Economy,2010,2,4,120,14,159,6
Daimyo,2005,2,4,60,12,226,6
Cantaloop: Book 1 - Breaking into Prison,2020,1,4,720,16,86,7
The Alpha,2020,3,6,45,10,151,7
Vampire,2000,3,5,30,10,605,5
The Lost Cause: The American Civil War,,,,,,,
Tortuga 2199,2020,2,4,90,12,107,7
The Architects of the Colosseum,2016,2,4,30,10,267,6
Zombie Tower 3D,2015,3,4,60,10,179,6
Hornet Leader II,2005,1,1,60,12,109,7
Fuentes de Onoro 1811,2011,2,0,240,0,84,8
Soulfall,2015,2,4,45,0,218,6
N: The Napoleonic Wars,2017,1,1,240,12,85,7
Canadian Crucible: Brigade Fortress at Norrey,2013,2,2,720,12,86,7
Unstable Unicorns: Control,2019,2,8,45,14,139,7
Bethel Woods,2016,2,4,40,12,158,6
Down in Flames: WWII-Guns Blazing,2010,2,6,30,12,126,7
Babylon 5 Wars,1997,2,2,60,10,199,6
Diner,2014,2,4,15,13,360,6
Malifaux (Third Edition),2019,2,2,120,14,64,8
The Habit of Victory: From Warsaw to Eylau to Friedland,2007,2,2,3900,0,92,7
Miremarsh,2018,1,5,60,14,147,7
Victory in Europe,2015,2,3,180,12,160,6
Aerodrome,1994,2,12,60,12,94,7
Ciao,,,,,,,
The Golden Sails,2016,2,4,35,12,150,6
World War II: Pacific Theater of Operations,1991,2,4,360,12,173,6
War in the Desert,1997,1,2,180,12,110,7
DiceWar: Light of Dragons,2015,2,2,30,12,149,7
Quoridor Kid,2004,2,4,10,6,275,6
Nehemiah,2014,2,4,45,10,156,6
König Salomons Schatzkammer,2005,2,5,45,8,176,6
National Economy,2015,1,4,45,12,137,6
Bye-Bye Black Sheep,2017,2,5,30,8,202,6
Roller Coaster Tycoon,2002,2,4,45,8,445,6
Jass,1796,3,4,45,8,129,7
Exit: The Game + Puzzle - The Deserted Lighthouse,2020,1,4,180,12,107,7
Patronize,2013,3,5,20,14,370,6
1572: The Lost Expedition,2016,1,1,90,12,208,6
Hoyuk,2006,2,5,60,10,393,6
Lost Woods,2015,1,6,60,12,180,6
Lords of War: Templars versus Undead,2014,2,2,30,12,211,6
Bomarzo,2015,2,4,60,12,203,6
Heroes of Normandie: The Tactical Card Game,2019,2,2,90,14,94,7
Omertà,,,,,,,
